,Is_Holiday,Holiday_Type,OneHourSlot,Month,Year,Weekday,Trend_lag_1,Trend_lag_2,Trend_lag_24,Trend_lag_168,Trend_lag_336,Trend_lag_504,Trend_lag_672,Pred,Actual
5018,0,0,13,10,2023,0,55.2815950122239,55.08972584163517,45.6148292959088,54.29635706855897,63.83599862799693,63.065313583637305,50.53033488735249,50.0,55.50595185923569
5019,0,0,14,10,2023,0,55.50595185923569,55.2815950122239,45.638241782083234,54.47369450856879,63.95672845424691,63.30036004449727,50.54005668532045,50.0,55.71380365421161
5020,0,0,15,10,2023,0,55.71380365421161,55.50595185923569,45.89956913685874,54.46279532302933,63.97290163590028,63.42344024011677,50.64930776067769,50.0,55.8781045362707
5021,0,0,16,10,2023,0,55.8781045362707,55.71380365421161,46.44976475762065,54.20797232441464,63.92699867973575,63.46450657061608,50.90799933013229,49.0,56.02853794994312
5022,0,0,17,10,2023,0,56.02853794994312,55.8781045362707,47.30491263356392,53.691832219963935,63.86219351490313,63.46387227023323,51.3397178174051,49.0,56.20116428363858
5023,0,0,18,10,2023,0,56.20116428363858,56.02853794994312,48.43510139631967,52.933224264338136,63.80154811601966,63.451716692658366,51.91763240584907,49.0,56.41169545786327
5024,0,0,19,10,2023,0,56.41169545786327,56.20116428363858,49.78325976019473,51.9794387868792,63.74985211556292,63.44533212921112,52.62136813453621,49.0,56.66372470801243
5025,0,0,20,10,2023,0,56.66372470801243,56.41169545786327,51.27734917716303,50.88569981801557,63.71028853489937,63.45766351403577,53.43627652415213,49.0,56.96356645094273
5026,0,0,21,10,2023,0,56.96356645094273,56.66372470801243,52.81346426832411,49.712901788156806,63.68922411885991,63.51284175491293,54.32801771963577,49.0,57.32560982200869
5027,0,0,22,10,2023,0,57.32560982200869,56.96356645094273,54.2754164174837,48.5226168990665,63.68730480832528,63.622423615091,55.24891488445158,49.0,57.75664851721527
5028,0,0,23,10,2023,0,57.75664851721527,57.32560982200869,55.55651923576846,47.36545769071447,63.69870260562845,63.78698736228569,56.1504093701941,49.0,58.2611747435316
5029,0,0,24,10,2023,0,58.2611747435316,57.75664851721527,56.564660573799664,46.28766036149313,63.72118351424878,64.01229828725093,56.99439187637211,48.0,58.85680047693908
5030,0,0,1,10,2023,1,58.85680047693908,58.2611747435316,57.22143922173489,45.30566598591768,63.755017137991445,64.27633282736566,57.74384199768692,56.0,59.55425174715862
5031,0,0,2,10,2023,1,59.55425174715862,58.85680047693908,57.49212606484099,44.42314759803128,63.80064597935581,64.5493662761322,58.38354906998458,55.0,60.33903136535552
5032,0,0,3,10,2023,1,60.33903136535552,59.55425174715862,57.41016820108805,43.62284800051705,63.86328480843148,64.84172365465598,58.96851677085204,55.0,61.207858086270775
5033,0,0,4,10,2023,1,61.207858086270775,60.33903136535552,57.05979752191448,42.88010015794567,63.9189285581244,65.15023576830745,59.575106721481646,55.0,62.113259967115326
5034,0,0,5,10,2023,1,62.113259967115326,61.207858086270775,56.56296909502765,42.15913679832094,63.92911574893486,65.43589764942436,60.2558602325019,55.0,62.981812314170725
5035,0,0,6,10,2023,1,62.981812314170725,62.113259967115326,56.03259808536744,41.42689376311001,63.849151402580034,65.65018332256888,61.00765415573408,54.0,63.77161000860199
5036,0,0,7,10,2023,1,63.77161000860199,62.981812314170725,55.56211257187921,40.66268665826205,63.66877485931912,65.76934403687702,61.79012534544853,54.0,64.46003512570758
5037,0,0,8,10,2023,1,64.46003512570758,63.77161000860199,55.21294820892233,39.86515035816985,63.40245818718704,65.79642140958968,62.57199601467675,54.0,65.03199617341681
5038,0,0,9,10,2023,1,65.03199617341681,64.46003512570758,55.01955359048636,39.05549833308429,63.07867546915946,65.74743577395303,63.32315459339315,53.0,65.47272545182194
5039,0,0,10,10,2023,1,65.47272545182194,65.03199617341681,54.98730333401344,38.26825989062485,62.730225285567926,65.65064795035813,63.99465467979369,53.0,65.77721812940835
5040,0,0,11,10,2023,1,65.77721812940835,65.47272545182194,55.08972584163517,37.54821060252217,62.38608534086556,65.52694689847216,64.53195120515605,53.0,65.935419236495
5041,0,0,12,10,2023,1,65.935419236495,65.77721812940835,55.2815950122239,36.94166048675446,62.07080451162616,65.39751548137622,64.90064411974829,52.0,65.94574453747295
5042,0,0,13,10,2023,1,65.94574453747295,65.935419236495,55.50595185923569,36.493767732722056,61.79633338638784,65.2748582568916,65.10101902326237,52.0,65.82213317163148
5043,0,0,14,10,2023,1,65.82213317163148,65.94574453747295,55.71380365421161,36.26635707638932,61.565859504561445,65.1738412139834,65.15889406480454,52.0,65.59305445447566
5044,0,0,15,10,2023,1,65.59305445447566,65.82213317163148,55.8781045362707,36.30878798702536,61.389975156368855,65.11158226805794,65.10494180263197,51.0,65.2743167002844
5045,0,0,16,10,2023,1,65.2743167002844,65.59305445447566,56.02853794994312,36.653623106024725,61.28253182109228,65.0911385856073,64.99077832767712,51.0,64.88203034755166
5046,0,0,17,10,2023,1,64.88203034755166,65.2743167002844,56.20116428363858,37.3103757181264,61.2566935933198,65.09936600717302,64.84940858799092,51.0,64.45309134627966
5047,0,0,18,10,2023,1,64.45309134627966,64.88203034755166,56.41169545786327,38.27664906895322,61.29818497878548,65.13148980462574,64.6937246563452,51.0,64.01425802570685
5048,0,0,19,10,2023,1,64.01425802570685,64.45309134627966,56.66372470801243,39.50212740568698,61.37755590443657,65.17212216630878,64.5236750125287,51.0,63.56788855351656
5049,0,0,20,10,2023,1,63.56788855351656,64.01425802570685,56.96356645094273,40.92001363609124,61.474748972351776,65.21095413889492,64.34463011673928,51.0,63.13402658719538
5050,0,0,21,10,2023,1,63.13402658719538,63.56788855351656,57.32560982200869,42.45360374650701,61.55710416107984,65.22985901134174,64.14421532303524,51.0,62.73747891115495
5051,0,0,22,10,2023,1,62.73747891115495,63.13402658719538,57.75664851721527,44.02108762759595,61.58738919323523,65.19918906655519,63.90016278499628,51.0,62.39825099714165
5052,0,0,23,10,2023,1,62.39825099714165,62.73747891115495,58.2611747435316,45.547119884026166,61.54250270281964,65.10679750477887,63.60517714093925,51.0,62.14379476296612
5053,0,0,24,10,2023,1,62.14379476296612,62.39825099714165,58.85680047693908,46.968994260380846,61.41396947598531,64.96340080881225,63.287555284994085,51.0,61.98086898623664
5054,0,0,1,11,2023,2,61.98086898623664,62.14379476296612,59.55425174715862,48.26033418678382,61.204737533587846,64.78026765267431,62.99547399055347,57.0,61.9037833928539
5055,0,0,2,11,2023,2,61.9037833928539,61.98086898623664,60.33903136535552,49.404459115977886,60.936204206388986,64.556481080038,62.774838526721226,57.0,61.92924182413606
5056,0,0,3,11,2023,2,61.92924182413606,61.9037833928539,61.207858086270775,50.42837134142044,60.68129805623038,64.30492171844091,62.694978384193504,57.0,62.045469754300434
5057,0,0,4,11,2023,2,62.045469754300434,61.92924182413606,62.113259967115326,51.385322916584144,60.50726753349544,64.03759795351682,62.79450023015234,57.0,62.21430711573928
5058,0,0,5,11,2023,2,62.21430711573928,62.045469754300434,62.981812314170725,52.3413109118095,60.43916401069625,63.74974949987941,63.05856535182051,57.0,62.38728628774526
5059,0,0,6,11,2023,2,62.38728628774526,62.21430711573928,63.77161000860199,53.31548773046942,60.48697894858344,63.45761820099528,63.46737970440099,57.0,62.538948607115934
5060,0,0,7,11,2023,2,62.538948607115934,62.38728628774526,64.46003512570758,54.28089384521797,60.64918441978735,63.1735060112982,63.98599124479325,57.0,62.644309671692696
5061,0,0,8,11,2023,2,62.644309671692696,62.538948607115934,65.03199617341681,55.20347095721962,60.911778191193,62.90201357045186,64.5422787221179,57.0,62.68602741195102
5062,0,0,9,11,2023,2,62.68602741195102,62.644309671692696,65.47272545182194,56.05886525612425,61.25064670489734,62.64427577032238,65.07951489653385,58.0,62.66332197026058
5063,0,0,10,11,2023,2,62.66332197026058,62.68602741195102,65.77721812940835,56.826677040669566,61.6326309822536,62.39669167109536,65.56467823399491,58.0,62.58650680049064
