,Is_Holiday,Holiday_Type,OneHourSlot,Month,Year,Weekday,Seasonal_lag_1,Seasonal_lag_2,Seasonal_lag_24,Seasonal_lag_168,Seasonal_lag_336,Seasonal_lag_504,Seasonal_lag_672,Pred,Actual
2772,0,0,23,7,2023,4,-13.546186693052448,-2.9008474820836563,-4.803511665648727,-3.563380322577121,-5.333379487547437,-11.67400576276981,-9.647317529850325,-9.0,-5.730973254666943
2773,0,0,24,7,2023,4,-5.730973254666943,-13.546186693052448,-41.81080053051532,-37.99877130644791,-32.83162856740215,-33.31548049526831,-35.19373541782932,-44.0,-41.96675156372809
2774,1,15,1,7,2023,5,-41.96675156372809,-5.730973254666943,-56.1426930080415,-54.59979509612302,-55.88856955070997,-56.8336173955005,-56.9195042133773,-57.0,-56.68908700010807
2775,1,15,2,7,2023,5,-56.68908700010807,-41.96675156372809,-63.264461015529065,-61.82936071401683,-63.0241934528802,-64.47249573124174,-64.10846778406292,-65.0,-63.747588948973565
2776,1,15,3,7,2023,5,-63.747588948973565,-56.68908700010807,-63.604924267155575,-62.02639310639661,-63.073544143587824,-64.55217801378447,-64.20871026646348,-66.0,-64.09263877850574
2777,1,15,4,7,2023,5,-64.09263877850574,-63.747588948973565,-63.61087201730363,-62.03476925608943,-63.05501120112682,-64.54759225851733,-64.2176754356743,-66.0,-64.10581322239779
2778,1,15,5,7,2023,5,-64.10581322239779,-64.09263877850574,-57.02287633738602,-56.282536835996375,-58.14020705110843,-59.2615794145967,-56.68481649117791,-60.0,-57.41870741725428
2779,1,15,6,7,2023,5,-57.41870741725428,-64.10581322239779,-37.9271624485835,-35.81349825287546,-36.979755688935406,-38.74949822861862,-33.81308588592421,-42.0,-38.46946542565758
2780,1,15,7,7,2023,5,-38.46946542565758,-57.41870741725428,-2.4788862175928643,-2.9003608445890534,-1.365014177503505,-0.978563175763453,-4.258075839530767,-7.0,-2.087600629518369
2781,1,15,8,7,2023,5,-2.087600629518369,-38.46946542565758,41.68849263307133,38.07479103414642,34.85342144944818,35.414319452616795,33.88048271046337,37.0,42.384015655467074
2782,1,15,9,7,2023,5,42.384015655467074,-2.087600629518369,143.26773749106755,143.38101281179377,149.05989520182916,144.8539246580727,144.86970569279646,133.0,145.62405563788664
